frequency_band,frequency,model,interaction_mean,interaction_sem,linear_sum,integrated
Theta,8,Simple,0.4401164526583758,1.2805640248501642,5.127688491703165,5.134741453165489
Theta,8,Decomposed_PD,0.5601447284763375,0.8106648976604033,5.171406520863702,5.194388489060824
Theta,8,Lateral_Inh,-8.58487345072637,0.8245858146076045,5.11804988823408,4.673824860441438
Theta,8,Complete,-7.815840636621426,0.8256231631006108,5.176651656350002,4.765222393132328
Beta,15,Simple,0.9930231225558763,0.9189700242363757,4.65805650235547,4.698715879512233
Beta,15,Decomposed_PD,0.35874238536285113,0.8612267963988891,4.761945388675012,4.774154206476831
Beta,15,Lateral_Inh,-8.836724305695643,1.2024095591311315,4.712287543265615,4.2875736718696364
Beta,15,Complete,-7.594133725246516,0.9299130225865725,4.779156610587922,4.408402236244068
Low_Gamma,30,Simple,-0.07521302085307015,0.9714116335497764,4.330634076586617,4.321083967850987
Low_Gamma,30,Decomposed_PD,-0.05257985575308298,0.9092340733479557,4.322359620317588,4.3140456146662185
Low_Gamma,30,Lateral_Inh,-10.923839542842002,0.7632777455254574,4.3294667095164305,3.852758457390728
Low_Gamma,30,Complete,-8.680272885928444,0.692361522721863,4.272222889380376,3.89771773683035
High_Gamma,40,Simple,-0.24064005055306836,1.1262463942763141,4.254263926628176,4.2355010681435825
High_Gamma,40,Decomposed_PD,-0.6650006854125254,0.9449225640556699,4.08568221941249,4.050883269615385
High_Gamma,40,Lateral_Inh,-10.621902272899963,0.9150407742050735,4.19864945131226,3.7455386215378668
High_Gamma,40,Complete,-10.430188838478829,0.8016615250781856,4.058685834134794,3.6314007480476396
