pathway,frequency_hz,response_mean_percent,response_sem_percent,pulse_number,n_trials
DD,0.1,101.1204165918132,2.958075218877954,2,30
DD,1.0,99.5016696681777,3.3361266540421943,2,30
DD,2.0,97.03612836829846,3.3108889186675277,2,30
DD,5.0,107.04801732104838,2.9248735607303744,2,30
DD,10.0,118.8851638777393,3.1184740658175967,2,30
DD,20.0,125.15207859907996,2.308280873734037,2,30
DD,30.0,136.20232384359164,2.1884483725148347,2,30
DD,40.0,139.54349196377376,2.1559933635599045,2,30
MD,0.1,90.73204366279889,3.6615408805303646,2,30
MD,1.0,75.57949019733942,2.6905768405182378,2,30
MD,2.0,74.03045238703095,2.932607183084881,2,30
MD,5.0,71.05991345167874,2.6335239366580288,2,30
MD,10.0,65.9893581727043,3.022464693268725,2,30
MD,20.0,80.59841438172474,2.0615111008081586,2,30
MD,30.0,86.57463714789223,2.0186938183518954,2,30
MD,40.0,93.43422244758452,2.083985956372707,2,30
PD,0.1,101.32966717106919,4.251589827440759,2,30
PD,1.0,88.21713084325917,3.7225208437490522,2,30
PD,2.0,94.12620739353312,3.656548348020791,2,30
PD,5.0,82.80445856442017,2.7299941474575906,2,30
PD,10.0,75.12448765610641,2.6821307501009777,2,30
PD,20.0,78.1441256601981,3.144882880731853,2,30
PD,30.0,81.41347934031857,1.9328283399945831,2,30
PD,40.0,78.44653401944568,2.0935431063070826,2,30
