pathway,frequency_hz,pulse_number,response_mean_percent,response_sem_percent,n_trials,cv
DD,0.1,1,100.0,0.0,30,0.2
DD,0.1,2,103.57451817918123,3.891289824791111,30,0.2
DD,0.1,3,103.57451817918123,3.891289824791111,30,0.2
DD,0.1,4,103.57451817918123,3.891289824791111,30,0.2
DD,0.1,5,103.57451817918123,3.891289824791111,30,0.2
DD,0.1,6,103.57451817918123,3.891289824791111,30,0.2
DD,0.1,7,103.57451817918123,3.891289824791111,30,0.2
DD,0.1,8,103.57451817918123,3.891289824791111,30,0.2
DD,0.1,9,103.57451817918123,3.891289824791111,30,0.2
DD,0.1,10,103.57451817918123,3.891289824791111,30,0.2
MD,0.1,1,100.0,0.0,30,0.2
MD,0.1,2,92.8902742724464,3.3118679931132253,30,0.2
MD,0.1,3,92.66620645722655,3.2060412220147048,30,0.2
MD,0.1,4,92.64766860520668,3.19797207203035,30,0.2
MD,0.1,5,92.64610337969437,3.197319185027106,30,0.2
MD,0.1,6,92.64596916490116,3.197264572594925,30,0.2
MD,0.1,7,92.64595754524522,3.197259910074481,30,0.2
MD,0.1,8,92.64595653368171,3.1972595067673595,30,0.2
MD,0.1,9,92.64595644534762,3.197259471578332,30,0.2
MD,0.1,10,92.64595643762108,3.197259468489832,30,0.2
PD,0.1,1,100.0,0.0,30,0.2
PD,0.1,2,104.39368596576331,4.003459692355532,30,0.2
PD,0.1,3,104.39368595388984,4.003459657433069,30,0.2
PD,0.1,4,104.39368595388984,4.003459657433063,30,0.2
PD,0.1,5,104.39368595388984,4.003459657433063,30,0.2
PD,0.1,6,104.39368595388984,4.003459657433063,30,0.2
PD,0.1,7,104.39368595388984,4.003459657433063,30,0.2
PD,0.1,8,104.39368595388984,4.003459657433063,30,0.2
PD,0.1,9,104.39368595388984,4.003459657433063,30,0.2
PD,0.1,10,104.39368595388984,4.003459657433063,30,0.2
DD,1.0,1,100.0,0.0,30,0.2
DD,1.0,2,96.78383504880235,4.277565001403868,30,0.2
DD,1.0,3,96.77591267724897,4.270885542857924,30,0.2
DD,1.0,4,96.77593084846936,4.270645525973712,30,0.2
DD,1.0,5,96.7759352315157,4.270636835284507,30,0.2
DD,1.0,6,96.77593552988215,4.270636489300802,30,0.2
DD,1.0,7,96.77593554643968,4.270636474910226,30,0.2
DD,1.0,8,96.7759355472794,4.270636474298156,30,0.2
DD,1.0,9,96.77593554731997,4.2706364742717975,30,0.2
DD,1.0,10,96.77593554732191,4.270636474270653,30,0.2
MD,1.0,1,100.0,0.0,30,0.2
MD,1.0,2,78.9191794447126,2.8136880212905027,30,0.2
MD,1.0,3,64.63849158058879,1.6098396096705994,30,0.2
MD,1.0,4,57.25253161451016,1.1826317524879055,30,0.2
MD,1.0,5,53.411496508438255,1.0826253677408941,30,0.2
MD,1.0,6,51.40216072899539,1.0811743855531786,30,0.2
MD,1.0,7,50.34434745296026,1.0996718203112381,30,0.2
MD,1.0,8,49.783667385559596,1.1178166109737622,30,0.2
MD,1.0,9,49.48432152726785,1.1316823871954722,30,0.2
MD,1.0,10,49.32326185034988,1.1414199847591338,30,0.2
PD,1.0,1,100.0,0.0,30,0.2
PD,1.0,2,100.80134834273846,3.4049494111491527,30,0.2
PD,1.0,3,100.24396705792392,3.2903109383010745,30,0.2
PD,1.0,4,100.20156966817368,3.2821068424095734,30,0.2
PD,1.0,5,100.19801721177436,3.281451564227994,30,0.2
PD,1.0,6,100.19769654310714,3.2813949775089903,30,0.2
PD,1.0,7,100.19766576796616,3.2813897996774917,30,0.2
PD,1.0,8,100.19766265988133,3.2813893047048697,30,0.2
PD,1.0,9,100.19766233246668,3.2813892557689304,30,0.2
PD,1.0,10,100.19766229676598,3.281389250801531,30,0.2
DD,2.0,1,100.0,0.0,30,0.2
DD,2.0,2,104.55824313090172,3.7357949247365587,30,0.2
DD,2.0,3,103.95340906341522,3.6497137940721456,30,0.2
DD,2.0,4,103.84742424871112,3.627916264257938,30,0.2
DD,2.0,5,103.83130034064081,3.624397036502507,30,0.2
DD,2.0,6,103.82881097085445,3.623834669802686,30,0.2
DD,2.0,7,103.82841714703225,3.623743236424288,30,0.2
DD,2.0,8,103.82835365803379,3.6237281641539245,30,0.2
DD,2.0,9,103.82834328574017,3.623725656916896,30,0.2
DD,2.0,10,103.82834157528652,3.623725237374364,30,0.2
MD,2.0,1,100.0,0.0,30,0.2
MD,2.0,2,80.10051940239545,2.4851971227857916,30,0.2
MD,2.0,3,60.161466455639996,1.3319239964701228,30,0.2
MD,2.0,4,48.69136980494879,0.9229637416214148,30,0.2
