frequencies,n_pulses,individual_responses,integrated_response,interaction_coefficient,interaction_sem,resource_utilization,condition_name,mean_frequency,frequency_spread
"[5, 5, 5]",5,"{'DD': np.float64(1.025657724706306), 'MD': np.float64(0.8706575623841066), 'PD': np.float64(1.1877778028825674)}",3.0793173630957256,0.0038544130788828773,0.017572748006938227,"{'DD': np.float64(0.16948885655791557), 'MD': np.float64(0.6713159979951192), 'PD': np.float64(0.3397767757800411)}",Equal_5Hz,5.0,0
"[5, 5, 5]",10,"{'DD': np.float64(2.039388210324763), 'MD': np.float64(1.2073162633919132), 'PD': np.float64(2.2331526080642314)}",5.516289694851786,0.01217569070453524,0.020762142844868957,"{'DD': np.float64(0.15866859012381904), 'MD': np.float64(0.8186662922185503), 'PD': np.float64(0.3552480446393299)}",Equal_5Hz,5.0,0
"[5, 5, 5]",15,"{'DD': np.float64(2.968046870528395), 'MD': np.float64(1.4059393860610914), 'PD': np.float64(3.275275496070868)}",7.758330970944047,0.023534329354271733,0.023366091920667128,"{'DD': np.float64(0.1471801070304939), 'MD': np.float64(0.8523619321251433), 'PD': np.float64(0.35658573191080806)}",Equal_5Hz,5.0,0
"[10, 10, 10]",5,"{'DD': np.float64(1.0840760354578782), 'MD': np.float64(0.894641981156267), 'PD': np.float64(1.1033748521568123)}",2.9974644979383043,-0.02423001851191364,0.013810590070391026,"{'DD': np.float64(0.33578031229784594), 'MD': np.float64(0.7201196610613322), 'PD': np.float64(0.5003153269085119)}",Equal_10Hz,10.0,0
"[10, 10, 10]",10,"{'DD': np.float64(2.0274620641284775), 'MD': np.float64(1.0825631701727996), 'PD': np.float64(1.8466978956784286)}",4.9019652221205225,-0.004780360505448685,0.01888040554634244,"{'DD': np.float64(0.3971341738937317), 'MD': np.float64(0.8844736483684698), 'PD': np.float64(0.5441205913810195)}",Equal_10Hz,10.0,0
"[10, 10, 10]",15,"{'DD': np.float64(2.9906120529985794), 'MD': np.float64(1.2182247965034847), 'PD': np.float64(2.466371731134967)}",6.6764107049356705,0.007555003079339546,0.021448332601166936,"{'DD': np.float64(0.3827520948917227), 'MD': np.float64(0.9178161810027882), 'PD': np.float64(0.5695122378090473)}",Equal_10Hz,10.0,0
"[15, 15, 15]",5,"{'DD': np.float64(1.1049066779340424), 'MD': np.float64(0.866494683403307), 'PD': np.float64(1.024300040313997)}",2.9741601201719137,-0.003539223366395995,0.014470062385225137,"{'DD': np.float64(0.47940122663929063), 'MD': np.float64(0.737022583344828), 'PD': np.float64(0.6099366788879863)}",Equal_15Hz,15.0,0
"[15, 15, 15]",10,"{'DD': np.float64(2.0134312622197426), 'MD': np.float64(1.0605111954991364), 'PD': np.float64(1.5945892645831554)}",4.63087739368146,-0.001338624911987651,0.020187174645916177,"{'DD': np.float64(0.5436978549723903), 'MD': np.float64(0.9094501647012757), 'PD': np.float64(0.6551326812935668)}",Equal_15Hz,15.0,0
"[15, 15, 15]",15,"{'DD': np.float64(2.8901167261905156), 'MD': np.float64(1.154984442452863), 'PD': np.float64(2.152653791975931)}",6.1500322182351805,-0.004831785824872083,0.013988099022500875,"{'DD': np.float64(0.5716314755441984), 'MD': np.float64(0.9396869004441565), 'PD': np.float64(0.6702371168989187)}",Equal_15Hz,15.0,0
"[20, 20, 20]",5,"{'DD': np.float64(1.1058074432260656), 'MD': np.float64(0.8692383097845963), 'PD': np.float64(1.0147499297030929)}",3.0026483840651332,0.006729000989683183,0.01267978984609347,"{'DD': np.float64(0.5665384320556489), 'MD': np.float64(0.7674501535127695), 'PD': np.float64(0.41573105717432124)}",Equal_20Hz,20.0,0
