decay_time,condition,DD_freq,MD_freq,PD_freq,mean_freq,interaction_coefficient,individual_sum,integrated_response
0,No_inhibition,5,5,5,5.0,0.0,5.452762848255069,5.452762848255069
0,No_inhibition,10,10,10,10.0,0.0,5.048898970649664,5.048898970649664
0,No_inhibition,15,15,15,15.0,0.0,4.772847538968414,4.772847538968414
0,No_inhibition,20,20,20,20.0,0.0,4.54488373815793,4.54488373815793
0,No_inhibition,30,30,30,30.0,0.0,4.282200097844255,4.282200097844255
0,No_inhibition,40,40,40,40.0,0.0,4.086645308086315,4.086645308086315
0,No_inhibition,10,20,30,20.0,0.0,4.666329542592593,4.666329542592593
5,5ms,5,5,5,5.0,0.0,5.452762848255069,5.452762848255069
5,5ms,10,10,10,10.0,0.0,5.048898970649664,5.048898970649664
5,5ms,15,15,15,15.0,0.0,4.772847538968414,4.772847538968414
5,5ms,20,20,20,20.0,0.0,4.54488373815793,4.54488373815793
5,5ms,30,30,30,30.0,0.0,4.282200097844255,4.282200097844255
5,5ms,40,40,40,40.0,0.0,4.086645308086315,4.086645308086315
5,5ms,10,20,30,20.0,0.0,4.666329542592593,4.666329542592593
10,10ms,5,5,5,5.0,0.0,5.452762848255069,5.452762848255069
10,10ms,10,10,10,10.0,0.0,5.048898970649664,5.048898970649664
10,10ms,15,15,15,15.0,0.0,4.772847538968414,4.772847538968414
10,10ms,20,20,20,20.0,0.0,4.54488373815793,4.54488373815793
10,10ms,30,30,30,30.0,-0.002339647586683356,4.282200097844255,4.272181258719638
10,10ms,40,40,40,40.0,-0.0055035562013887075,4.086645308086315,4.064154225958121
10,10ms,10,20,30,20.0,0.0,4.666329542592593,4.666329542592593
15,15ms,5,5,5,5.0,0.0,5.452762848255069,5.452762848255069
15,15ms,10,10,10,10.0,0.0,5.048898970649664,5.048898970649664
15,15ms,15,15,15,15.0,0.0,4.772847538968414,4.772847538968414
15,15ms,20,20,20,20.0,-0.002163862137283323,4.54488373815793,4.535049236318575
15,15ms,30,30,30,30.0,-0.006697534992323269,4.282200097844255,4.253519912844813
15,15ms,40,40,40,40.0,-0.013102964570656732,4.086645308086315,4.03309813940162
15,15ms,10,20,30,20.0,-0.0012626252184881823,4.666329542592593,4.660437717234339
